city,place,rating,comments,url,user,time
悉尼,悉尼歌剧院,5.0,澳大利亚悉尼歌剧院是悉尼标志性建筑，之前我在图片上看过，如今它就在眼前，觉得的确很漂亮！有人说它像贝壳，有人说它像风帆，无论像什么，它都是独一无二的存在，是人类文明的象征！,https://you.ctrip.com/sight/sydney236/13607.html,水儿的美丽生活,2019-09-19 16:25
悉尼,悉尼歌剧院,4.0,换票处在地下不好找，歌剧院不错，有时间应该看场演出,https://you.ctrip.com/sight/sydney236/13607.html,118****560,2019-09-16 07:23
悉尼,悉尼歌剧院,5.0,特意在中秋节时间来这里参加盛大的长跑活动，我想应该只有像我这种狂热者才会飞那么长的长途跑来这里参加马拉松，天气特别好，好的相当舒服，在最后一段看着歌剧院心情大好。,https://you.ctrip.com/sight/sydney236/13607.html,M47****235,2019-09-15 22:03
悉尼,悉尼歌剧院,5.0,挺方便，导览的讲解非常详细，游览时间也有保证,https://you.ctrip.com/sight/sydney236/13607.html,小美女的妈妈,2019-09-14 20:02
悉尼,悉尼歌剧院,4.0,大事作品还是不错的，就是一开始没定上还显示购买成功，服务衔接没做好,https://you.ctrip.com/sight/sydney236/13607.html,anan6691475,2019-09-14 18:58
悉尼,悉尼歌剧院,4.0,参观了两个厅，放了一段悉尼歌剧院的简介，有几处适合拍照的地方留步，其他是走马观花。总体没有达到期望。,https://you.ctrip.com/sight/sydney236/13607.html,大虎大大虎,2019-09-13 17:49
悉尼,悉尼歌剧院,3.0,看了几个厅，感觉很一般，去不去都可。,https://you.ctrip.com/sight/sydney236/13607.html,demidong,2019-09-13 09:39
悉尼,悉尼歌剧院,5.0,澳大利亚全国表演艺术中心。它矗立在新南威尔士州首府悉尼市贝尼朗岬角上，紧靠世界著名的海港大桥的一块小半岛上，三面环海，建筑造型新颖奇特、雄伟瑰丽，外形犹如一组扬帆出海的船队，也像一枚枚屹立在海滩上的洁白大贝壳，与周围海上的景色浑然一体。,https://you.ctrip.com/sight/sydney236/13607.html,139****1880,2019-09-09 21:52
悉尼,悉尼歌剧院,5.0,不错，就是集合点不太好找，先到售票处换票再集合有点麻烦，还不好找,https://you.ctrip.com/sight/sydney236/13607.html,文翰88,2019-09-08 17:45
悉尼,悉尼歌剧院,5.0,虽然已经买了歌剧票去看演出，但参观和看演出还是不一样的，有专门的人员带领一个厅一个厅的观赏，有些地方是不能拍照的。知道了很多歌剧院的故事。换票很方便，提前5分钟到就够了。,https://you.ctrip.com/sight/sydney236/13607.html,dudu妈,2019-09-08 04:57
悉尼,悉尼歌剧院,5.0,澳大利亚悉尼歌剧院是悉尼标志性建筑，之前我在图片上看过，如今它就在眼前，觉得的确很漂亮！有人说它像贝壳，有人说它像风帆，无论像什么，它都是独一无二的存在，是人类文明的象征！,https://you.ctrip.com/sight/sydney236/13607.html,水儿的美丽生活,2019-09-19 16:25
悉尼,悉尼歌剧院,4.0,换票处在地下不好找，歌剧院不错，有时间应该看场演出,https://you.ctrip.com/sight/sydney236/13607.html,118****560,2019-09-16 07:23
悉尼,悉尼歌剧院,5.0,特意在中秋节时间来这里参加盛大的长跑活动，我想应该只有像我这种狂热者才会飞那么长的长途跑来这里参加马拉松，天气特别好，好的相当舒服，在最后一段看着歌剧院心情大好。,https://you.ctrip.com/sight/sydney236/13607.html,M47****235,2019-09-15 22:03
悉尼,悉尼歌剧院,5.0,挺方便，导览的讲解非常详细，游览时间也有保证,https://you.ctrip.com/sight/sydney236/13607.html,小美女的妈妈,2019-09-14 20:02
悉尼,悉尼歌剧院,4.0,大事作品还是不错的，就是一开始没定上还显示购买成功，服务衔接没做好,https://you.ctrip.com/sight/sydney236/13607.html,anan6691475,2019-09-14 18:58
悉尼,悉尼歌剧院,4.0,参观了两个厅，放了一段悉尼歌剧院的简介，有几处适合拍照的地方留步，其他是走马观花。总体没有达到期望。,https://you.ctrip.com/sight/sydney236/13607.html,大虎大大虎,2019-09-13 17:49
悉尼,悉尼歌剧院,3.0,看了几个厅，感觉很一般，去不去都可。,https://you.ctrip.com/sight/sydney236/13607.html,demidong,2019-09-13 09:39
悉尼,悉尼歌剧院,5.0,澳大利亚全国表演艺术中心。它矗立在新南威尔士州首府悉尼市贝尼朗岬角上，紧靠世界著名的海港大桥的一块小半岛上，三面环海，建筑造型新颖奇特、雄伟瑰丽，外形犹如一组扬帆出海的船队，也像一枚枚屹立在海滩上的洁白大贝壳，与周围海上的景色浑然一体。,https://you.ctrip.com/sight/sydney236/13607.html,139****1880,2019-09-09 21:52
悉尼,悉尼歌剧院,5.0,不错，就是集合点不太好找，先到售票处换票再集合有点麻烦，还不好找,https://you.ctrip.com/sight/sydney236/13607.html,文翰88,2019-09-08 17:45
悉尼,悉尼歌剧院,5.0,虽然已经买了歌剧票去看演出，但参观和看演出还是不一样的，有专门的人员带领一个厅一个厅的观赏，有些地方是不能拍照的。知道了很多歌剧院的故事。换票很方便，提前5分钟到就够了。,https://you.ctrip.com/sight/sydney236/13607.html,dudu妈,2019-09-08 04:57
悉尼,悉尼歌剧院,5.0,澳大利亚悉尼歌剧院是悉尼标志性建筑，之前我在图片上看过，如今它就在眼前，觉得的确很漂亮！有人说它像贝壳，有人说它像风帆，无论像什么，它都是独一无二的存在，是人类文明的象征！,https://you.ctrip.com/sight/sydney236/13607.html,水儿的美丽生活,2019-09-19 16:25
悉尼,悉尼歌剧院,4.0,换票处在地下不好找，歌剧院不错，有时间应该看场演出,https://you.ctrip.com/sight/sydney236/13607.html,118****560,2019-09-16 07:23
悉尼,悉尼歌剧院,5.0,特意在中秋节时间来这里参加盛大的长跑活动，我想应该只有像我这种狂热者才会飞那么长的长途跑来这里参加马拉松，天气特别好，好的相当舒服，在最后一段看着歌剧院心情大好。,https://you.ctrip.com/sight/sydney236/13607.html,M47****235,2019-09-15 22:03
悉尼,悉尼歌剧院,5.0,挺方便，导览的讲解非常详细，游览时间也有保证,https://you.ctrip.com/sight/sydney236/13607.html,小美女的妈妈,2019-09-14 20:02
悉尼,悉尼歌剧院,4.0,大事作品还是不错的，就是一开始没定上还显示购买成功，服务衔接没做好,https://you.ctrip.com/sight/sydney236/13607.html,anan6691475,2019-09-14 18:58
悉尼,悉尼歌剧院,4.0,参观了两个厅，放了一段悉尼歌剧院的简介，有几处适合拍照的地方留步，其他是走马观花。总体没有达到期望。,https://you.ctrip.com/sight/sydney236/13607.html,大虎大大虎,2019-09-13 17:49
悉尼,悉尼歌剧院,3.0,看了几个厅，感觉很一般，去不去都可。,https://you.ctrip.com/sight/sydney236/13607.html,demidong,2019-09-13 09:39
悉尼,悉尼歌剧院,5.0,澳大利亚全国表演艺术中心。它矗立在新南威尔士州首府悉尼市贝尼朗岬角上，紧靠世界著名的海港大桥的一块小半岛上，三面环海，建筑造型新颖奇特、雄伟瑰丽，外形犹如一组扬帆出海的船队，也像一枚枚屹立在海滩上的洁白大贝壳，与周围海上的景色浑然一体。,https://you.ctrip.com/sight/sydney236/13607.html,139****1880,2019-09-09 21:52
